region,district_ocha,idp_settlement,n,,,,,,dataset,idp_settlement,,sampling frame,,,,,,,,Row Labels,hc,idp,Grand Total
awdal,Baki,no,147,,,,,region,district_ocha,no,yes,hc,idp,,,,,,,Afgooye,24753,3163,27916
awdal,Borama,no,162,,,,,awdal,Baki,147,NA,17620,0,,,,,,,Afmadow,16432,1755,18187
awdal,Borama,yes,76,,,,,awdal,Borama,162,76,241593,2998,,,,,,,baardheere,71520,690,72210
awdal,Lughaye,no,128,,,,,awdal,Lughaye,128,82,36880,2711,,,,,,,Badhaadhe,8680,,8680
awdal,Lughaye,yes,82,,,,,awdal,Zeylac,127,NA,19051,0,,,,,,,Badhan ,428,1979,2407
awdal,Zeylac,no,127,,,,,bakool,Ceel Barde,95,84,13062,601,,,,,,,baidoa,137600,47873,185473
bakool,Ceel Barde,no,95,,,,,bakool,Waajid,77,84,5205,1679,,,,,,,Baki,17620,,17620
bakool,Ceel Barde,yes,84,,,,,bakool,Xudur,80,62,38768,166,,,,,,,Balcad,29562,,29562
bakool,Waajid,no,77,,,,,banadir,Banadir,384,661,#N/A,#N/A,,,,,,,Bandarbayla,1535,,1535
bakool,Waajid,yes,84,,,,,bari,Bandarbeyla,174,NA,1535,#N/A,,,,,,,Belet Xaawo,12891,1270,14161
bakool,Xudur,no,80,,,,,bari,Bossaso,86,126,35751,10008,,,,,,,berbera,71070,1370,72440
bakool,Xudur,yes,62,,,,,bari,Iskushuban,216,NA,9675,0,,,,,,,borama,241593,2998,244591
banadir,Banadir,no,384,,,,,bari,Qardho,106,NA,11362,0,,,,,,,bossaso,35751,10008,45759
banadir,Banadir,yes,661,,,,,bay,Baydhaba,84,99,137600,47873,,,,,,,burco,312664,13318,325982
bari,Bandarbeyla,no,174,,,,,bay,Buur Hakaba,160,NA,15431,0,,,,,,,burtinle,4197,967,5164
bari,Bossaso,no,86,,,,,galgaduud,Cabudwaaq,77,141,159552,3735,,,,,,,buuhoodle,15808,3440,19248
bari,Bossaso,yes,126,,,,,galgaduud,Cadaado,83,112,40647,870,,,,,,,Buur Hakaba,15431,,15431
bari,Iskushuban,no,216,,,,,galgaduud,Dhuusamarreeb,51,92,81863,1688,,,,,,,cabudwaaq,159552,3735,163287
bari,Qardho,no,106,,,,,gedo,Baardheere,84,1,71520,690,,,,,,,cadaado,40647,870,41517
bay,Baydhaba,no,84,,,,,gedo,Belet Xaawo,119,28,12891,1270,,,,,,,caynabo,27237,5736,32973
bay,Baydhaba,yes,99,,,,,gedo,Ceel Waaq,77,32,18331,50,,,,,,,Ceel Afweyn,34446,2942,37388
bay,Buur Hakaba,no,160,,,,,gedo,Doolow,77,69,21039,9884,,,,,,,Ceel Barde,13062,601,13663
galgaduud,Cabudwaaq,no,77,,,,,gedo,Garbahaarey,55,60,21972,280,,,,,,,Ceel Waaq,18331,50,18381
galgaduud,Cabudwaaq,yes,141,,,,,gedo,Luuq,91,23,19000,5497,,,,,,,ceerigaabo,14596,1877,16473
galgaduud,Cadaado,no,83,,,,,hiraan,Belet Weyne,127,111,12866,7426,,,,,,,Daynile,46634.07332,,46634.07332
galgaduud,Cadaado,yes,112,,,,,lower_juba,Afmadow,48,108,16432,1755,,,,,,,Dharkenley,39824.89803,,39824.89803
galgaduud,Dhuusamarreeb,no,51,,,,,lower_juba,Badhaadhe,25,NA,8680,0,,,,,,,dhuusamarreeb,81863,1688,83551
galgaduud,Dhuusamarreeb,yes,92,,,,,lower_juba,Banadir,NA,2,#N/A,#N/A,,,,,,,doolow,21039,9884,30923
gedo,Baardheere,no,84,,,,,lower_juba,Kismaayo,59,101,#N/A,#N/A,,,,,,,Eyl,5858,,5858
gedo,Baardheere,yes,1,,,,,lower_shabelle,Afgooye,114,110,24753,3163,,,,,,,gaalkacyo north,84759,17397,102156
